split,model,band_total_row_diff_target,changed_rows,swaps,fixes,breaks,net_gain_rows,flip_precision,anchor_accuracy,candidate_accuracy,delta_accuracy
val_random_uniform_seed707,ridge_fast,50,50,25,26,24,2,0.52,0.7609521904380876,0.7610522104420884,0.00010002000400077815
val_random_uniform_seed707,ridge_fast,100,70,35,33,37,-4,0.4714285714285714,0.7609521904380876,0.760752150430086,-0.0002000400080015563
val_random_uniform_seed707,ridge_fast,150,70,35,33,37,-4,0.4714285714285714,0.7609521904380876,0.760752150430086,-0.0002000400080015563
val_random_uniform_seed707,ridge_fast,300,70,35,33,37,-4,0.4714285714285714,0.7609521904380876,0.760752150430086,-0.0002000400080015563
val_random_uniform_seed707,ridge_fast,500,70,35,33,37,-4,0.4714285714285714,0.7609521904380876,0.760752150430086,-0.0002000400080015563
val_random_uniform_seed707,ridge_fast,850,70,35,33,37,-4,0.4714285714285714,0.7609521904380876,0.760752150430086,-0.0002000400080015563
val_random_uniform_seed808,ridge_fast,50,50,25,26,24,2,0.52,0.759751950390078,0.7598519703940788,0.00010002000400077815
val_random_uniform_seed808,ridge_fast,100,72,36,36,36,0,0.5,0.759751950390078,0.759751950390078,0.0
val_random_uniform_seed808,ridge_fast,150,72,36,36,36,0,0.5,0.759751950390078,0.759751950390078,0.0
val_random_uniform_seed808,ridge_fast,300,72,36,36,36,0,0.5,0.759751950390078,0.759751950390078,0.0
val_random_uniform_seed808,ridge_fast,500,72,36,36,36,0,0.5,0.759751950390078,0.759751950390078,0.0
val_random_uniform_seed808,ridge_fast,850,72,36,36,36,0,0.5,0.759751950390078,0.759751950390078,0.0
val_random_uniform_seed909,ridge_fast,50,50,25,25,25,0,0.5,0.7606521304260853,0.7606521304260853,0.0
val_random_uniform_seed909,ridge_fast,100,56,28,29,27,2,0.5178571428571429,0.7606521304260853,0.760752150430086,0.00010002000400077815
val_random_uniform_seed909,ridge_fast,150,56,28,29,27,2,0.5178571428571429,0.7606521304260853,0.760752150430086,0.00010002000400077815
val_random_uniform_seed909,ridge_fast,300,56,28,29,27,2,0.5178571428571429,0.7606521304260853,0.760752150430086,0.00010002000400077815
val_random_uniform_seed909,ridge_fast,500,56,28,29,27,2,0.5178571428571429,0.7606521304260853,0.760752150430086,0.00010002000400077815
